"filename", "language", "Java", "Shell Script", "Markdown", "Makefile", "ANTLR", "comment", "blank", "total"
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\Makefile", "Makefile", 0, 0, 0, 22, 0, 0, 7, 29
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\grammars\VSOPLexer.g4", "ANTLR", 0, 0, 0, 0, 156, 24, 48, 228
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\grammars\VSOPParser.g4", "ANTLR", 0, 0, 0, 0, 47, 0, 5, 52
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\ClassVisitor.java", "Java", 171, 0, 0, 0, 0, 8, 55, 234
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\Compiler.java", "Java", 155, 0, 0, 0, 0, 35, 35, 225
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\CustomVisitor.java", "Java", 328, 0, 0, 0, 0, 0, 108, 436
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\SemanticVisitor.java", "Java", 361, 0, 0, 0, 0, 0, 113, 474
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\VariableStack.java", "Java", 34, 0, 0, 0, 0, 0, 12, 46
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\ast\ASTAss.java", "Java", 25, 0, 0, 0, 0, 0, 8, 33
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\ast\ASTBinop.java", "Java", 30, 0, 0, 0, 0, 0, 11, 41
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\ast\ASTBlock.java", "Java", 38, 0, 0, 0, 0, 0, 14, 52
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\ast\ASTCall.java", "Java", 46, 0, 0, 0, 0, 1, 14, 61
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\ast\ASTClass.java", "Java", 55, 0, 0, 0, 0, 0, 22, 77
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\ast\ASTExpr.java", "Java", 8, 0, 0, 0, 0, 0, 6, 14
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\ast\ASTField.java", "Java", 27, 0, 0, 0, 0, 0, 13, 40
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\ast\ASTFormal.java", "Java", 22, 0, 0, 0, 0, 0, 9, 31
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\ast\ASTIf.java", "Java", 36, 0, 0, 0, 0, 1, 13, 50
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\ast\ASTIsnull.java", "Java", 19, 0, 0, 0, 0, 1, 9, 29
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\ast\ASTLet.java", "Java", 34, 0, 0, 0, 0, 0, 11, 45
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\ast\ASTLiteral.java", "Java", 21, 0, 0, 0, 0, 1, 8, 30
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\ast\ASTMethod.java", "Java", 47, 0, 0, 0, 0, 0, 21, 68
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\ast\ASTMinus.java", "Java", 19, 0, 0, 0, 0, 0, 8, 27
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\ast\ASTNew.java", "Java", 20, 0, 0, 0, 0, 0, 8, 28
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\ast\ASTNode.java", "Java", 17, 0, 0, 0, 0, 0, 9, 26
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\ast\ASTNot.java", "Java", 22, 0, 0, 0, 0, 1, 9, 32
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\ast\ASTOi.java", "Java", 21, 0, 0, 0, 0, 0, 9, 30
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\ast\ASTProgram.java", "Java", 28, 0, 0, 0, 0, 1, 9, 38
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\ast\ASTSelf.java", "Java", 15, 0, 0, 0, 0, 1, 8, 24
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\ast\ASTWhile.java", "Java", 27, 0, 0, 0, 0, 0, 9, 36
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\llvm\Context.java", "Java", 11, 0, 0, 0, 0, 0, 6, 17
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\llvm\LLVMGenerator.java", "Java", 18, 0, 0, 0, 0, 0, 7, 25
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\llvm\Variable.java", "Java", 12, 0, 0, 0, 0, 0, 4, 16
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\parsing\VSOPLexer.java", "Java", 469, 0, 0, 0, 0, 4, 52, 525
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\parsing\VSOPParser.java", "Java", 1597, 0, 0, 0, 0, 4, 50, 1651
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\parsing\VSOPParserBaseListener.java", "Java", 68, 0, 0, 0, 0, 316, 4, 388
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\parsing\VSOPParserListener.java", "Java", 62, 0, 0, 0, 0, 271, 2, 335
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\util\Chrono.java", "Java", 22, 0, 0, 0, 0, 0, 8, 30
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\util\Node.java", "Java", 10, 0, 0, 0, 0, 0, 4, 14
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\util\Pair.java", "Java", 9, 0, 0, 0, 0, 0, 4, 13
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\util\Tree.java", "Java", 18, 0, 0, 0, 0, 0, 7, 25
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\vsop\SemanticError.java", "Java", 35, 0, 0, 0, 0, 0, 12, 47
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\vsop\VSOPBinOp.java", "Java", 11, 0, 0, 0, 0, 0, 3, 14
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\vsop\VSOPClass.java", "Java", 104, 0, 0, 0, 0, 0, 34, 138
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\vsop\VSOPConstants.java", "Java", 43, 0, 0, 0, 0, 0, 11, 54
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\vsop\VSOPField.java", "Java", 44, 0, 0, 0, 0, 0, 10, 54
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\vsop\VSOPMethod.java", "Java", 18, 0, 0, 0, 0, 0, 8, 26
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\src\compiler\vsop\VSOPType.java", "Java", 12, 0, 0, 0, 0, 0, 4, 16
"e:\Data\David\git\Compiler-VSOP-LLVM\Compiler\vsopc.sh", "Shell Script", 0, 3, 0, 0, 0, 1, 2, 6
"e:\Data\David\git\Compiler-VSOP-LLVM\README.md", "Markdown", 0, 0, 18, 0, 0, 0, 6, 24
"Total", "-", 4189, 3, 18, 22, 203, 670, 849, 5954